style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Folk_Rock,-1.1279838,2.2410052,-0.52715653,1.929216,-0.3856303,0.24604838,-1.3887254,1.3719687,-1.893986,0.5768648,2.5995495,0.6893809,1.4439602,0.56815135,1.0381559,-2.2391403,-0.662337,-0.6317838,-0.42225558,0.06088543,0.13634475,0.4959391,0.79583347,1.898846,1.1062012,-1.4677677,1.2664073,0.16788058,1.3659921,0.01555893,-0.23758514,-1.0694258
Deep_House,-0.34578457,2.8653963,-1.5613823,-1.3997015,-0.2749868,0.48767176,-0.3729265,-1.7215593,1.4645902,0.54265285,-3.0344684,-2.3776374,0.8049336,-1.5416397,1.5057385,1.304657,0.8551413,0.124183886,-2.877201,-0.03717515,-1.1063275,-0.7066834,-1.0837091,-2.2323608,-0.60613155,0.20745663,0.9565414,-1.4327686,-0.3351429,-1.1189214,1.4996814,-0.87090933
Tech_House,-0.34016874,1.2385614,-2.4440463,-0.72825843,0.10570964,2.0199502,-0.05970296,-0.8350072,1.4000585,2.4826987,-1.679602,-2.8647869,0.27884966,-2.0121589,-0.24538884,-0.35504517,1.5556127,-0.7132773,-1.2112701,0.109130226,-1.55127,0.5754868,0.49185482,-2.3033416,-1.1115453,1.0113841,-0.106085606,-0.377132,1.4214982,-0.4971854,1.9296904,1.6449424
Minimal,-0.44428283,2.6004014,2.1024292,-1.1011086,0.013935069,0.16909137,-2.5972571,0.93165755,1.1747798,-0.28768435,-0.28862682,-0.9304757,-0.4050672,-0.84071636,-0.8515572,0.8914017,-1.6298573,-1.2092063,-0.47209275,-0.55628,-1.9063145,-2.410867,0.198212,-3.5395212,-1.6523244,-0.83832943,-1.1339185,-0.73998415,0.8316589,-0.7155381,0.9839179,2.3602283
Chanson,-0.32700214,0.14464359,-1.5866145,-0.9522246,0.35333034,-0.6070159,0.69657326,-0.103643745,-0.20465305,-1.2195883,1.7199963,0.78679967,-0.07274722,0.94903433,0.99197185,-0.09040879,-0.2532038,-0.24245872,-1.3050624,0.7640773,0.550255,1.8582325,-0.98090506,1.8500543,2.0371585,-1.1509035,-1.0848278,0.78518414,1.8440477,0.39239156,0.9176338,-0.59041786
New_Wave,0.7010667,1.598099,-0.72585344,1.2987721,0.62135315,0.14856277,-3.081144,-1.1019192,0.3718479,0.3645169,2.0776486,0.16791539,-0.8610938,1.2792422,1.9973015,-2.8572948,0.4070069,-1.6634221,-0.485923,2.061454,-0.57883507,-0.17009911,-1.2927132,-1.6647731,-1.2537091,-0.32912427,-0.63293624,-0.382801,1.7649089,1.5064127,-0.52197367,-0.4671047
Abstract,-0.7490371,2.3270788,1.4159302,0.5978012,-1.3171451,1.6641036,-3.1420448,-0.1685946,1.0184493,-0.19862267,0.14519615,-0.43728563,-2.6545467,-0.9071902,-1.6126013,1.8207959,-2.0292244,-1.3360574,-0.12490233,-1.7591861,-0.7581099,-1.615242,-0.41737863,-2.7700517,-1.5328491,0.09252881,0.65101194,-0.8625709,-0.15478304,1.4249109,3.8530245,0.2236847
Garage_Rock,-0.6834343,0.69118875,0.27956516,4.0680094,-0.49389827,0.82263726,-0.8942286,1.2899913,-0.28957504,-0.09654797,2.6907957,1.7001505,0.91947603,-0.30258214,1.7635764,-1.0867627,-1.9462765,-2.2553668,0.30798075,1.8569726,1.277861,-0.6561334,0.53369135,1.0542543,-2.5106359,-0.92468005,-0.45799407,1.9756356,1.5854974,-0.68763995,-2.2201238,-1.2606388
Heavy_Metal,0.5711724,0.24897346,0.59719306,3.4291072,1.7738711,1.4160619,1.2751095,1.3371742,-1.1255387,-0.22036631,1.5358677,1.2145506,-1.4352806,0.5526827,-0.8485873,-0.6687782,-0.2682851,0.74065506,0.03900449,1.5365982,0.70028377,-0.6918888,0.068467796,-0.14459707,0.15145625,1.0160532,2.9589858,1.1552587,1.9431778,2.1507356,-2.4770007,2.011407
Romantic,-0.8495006,-2.3306305,1.0918264,-1.6289239,-1.1315749,0.4910015,0.46785748,-3.7028644,0.098423585,-1.7103794,0.25568208,-0.34035188,0.07580401,-1.4245896,-1.6257643,-1.8138777,-0.16065876,-0.47846508,0.35951984,1.2733866,1.5444248,0.94346726,2.078543,-0.32004702,4.230718,-3.4463613,0.3929516,-1.9650816,-1.4842093,-1.9396063,0.03266097,-1.1643019
Rhythm_&_Blues,-1.8353598,-0.36166993,-0.8289546,0.08396005,0.1920515,0.18683806,1.4213219,0.3276348,-1.2851827,-1.0655421,0.8040312,-0.77052754,1.1754782,0.10250784,3.1582923,-0.56587964,1.9822999,-1.255916,-0.8396938,-0.4056212,2.595243,1.9336617,-1.5251894,1.7229142,-1.2148138,-0.5737275,-1.1724066,1.9186667,0.87886816,0.5006962,-0.29915315,-2.8923671
Easy_Listening,-2.3305273,-0.47262603,0.73192,-2.0679448,-2.9960072,0.6613446,2.685971,-0.9249203,-1.0663677,-1.8934549,0.23562329,1.171896,-1.112992,0.32148013,1.2240846,1.050172,-1.1063977,-0.48386553,-1.7610475,-0.9995629,-0.3579849,1.2408019,-2.7988827,3.2480948,2.0098073,-1.8996937,-0.97073513,-0.67760944,-0.516167,-0.18441486,-0.80926406,-0.6558613
Prog_Rock,-0.79069304,1.7834189,0.19782531,1.3724611,-0.2385237,1.2025032,-1.2021853,2.1221902,-1.1874272,0.67738914,3.6261935,0.81287163,-0.5327093,0.11813038,-0.72831607,-1.2522085,-1.6900988,0.14501043,-0.8379955,-0.45740488,-0.6273777,-2.1923606,-2.5349479,1.1332097,0.168932,-1.0101291,-0.1692922,-0.13477467,1.3882803,1.0601746,-3.1022491,-0.9866477
Euro_House,4.31505,2.1933212,-2.8786478,0.49037656,1.2424537,-0.6355624,3.7559452,-1.0977952,0.5769857,0.77243704,-2.3045027,0.16684861,2.2438784,0.97992134,1.2574733,2.3657665,3.9924972,-1.7770659,-2.075509,1.2481934,-3.4617374,0.6892512,0.18714793,0.5648866,-0.19462197,1.6519537,-0.24482329,-0.75012136,-0.20948115,0.050791096,0.45780915,0.46637285
Drone,-1.4782884,0.54384476,2.4451005,1.4892795,-1.0860308,-0.6844573,-3.3280091,-0.23205528,0.8341453,1.7629758,0.058590394,-0.41412976,-3.454602,-0.2522686,-2.1625617,-0.5224664,-4.638814,-1.5894798,-1.2269198,-2.8188343,-2.2880187,-1.6497747,1.8112322,-2.7657454,-0.7440461,0.06688422,0.013142166,-1.1104546,-0.88545024,0.63247603,1.4613785,-0.7832087
Country,-1.1735758,0.15945612,-0.6440223,0.3245391,0.40059552,-0.46500134,1.7492572,2.032826,-0.99512595,-0.2638062,3.909173,-0.44260064,1.298571,-1.5471298,2.686361,-0.16428547,0.25316757,-1.0160295,-0.26289427,-1.240695,1.6298018,2.2107003,1.0790782,1.7143612,0.82351476,-0.7672264,-0.08310543,0.46936163,0.15523642,-0.8429649,1.182419,0.02708859
Schlager,-0.74535394,-0.6874429,-1.508537,-2.3448143,0.34612644,0.1694141,1.4889046,-0.5612527,-1.489609,-0.31369996,2.086996,0.8257047,0.8626539,0.48854366,1.8776886,0.4551457,0.058024477,-1.9427576,-1.8724552,2.3812423,0.39789024,2.0226717,-0.59241056,1.7964396,2.0898,0.1139332,-1.99617,1.5924537,0.30596736,0.017301068,-0.41633263,0.11587443
Breakbeat,-0.6502204,0.65914845,-2.0994823,1.0949587,1.8198029,1.1867,0.5198202,-1.0283892,1.9452106,0.6425243,-2.537987,1.1155064,0.6853045,-0.5599215,0.56799865,2.8895519,0.8425731,-0.08860184,-0.6498976,-2.1677098,-1.3906951,-1.3630805,-0.052935477,-2.3826132,-1.913351,1.8240247,1.3016657,-0.31853372,-0.047045566,0.12512982,2.1608837,0.14031205
Black_Metal,0.30122814,0.2613656,2.950577,3.272246,-0.039435744,-1.5755813,-1.1530782,1.1347077,1.1994902,0.83786184,0.2958336,0.3875978,-3.1332872,0.5600541,-0.8063016,-0.10472664,-3.5036821,-0.042398013,-0.92121637,-0.6492717,1.7437538,-2.2724323,2.1495812,0.40907592,0.04602145,2.1180031,1.6752344,-1.7126174,1.6374855,0.9497325,-1.9141701,1.7868588
Progressive_House,0.63339126,0.8947782,-3.6338058,-2.2918925,-0.17112145,0.3167654,0.72846615,0.1527113,2.0323775,0.9983976,-3.709952,-1.8494107,1.8403174,-0.5800304,1.008812,1.0393577,2.1215866,0.0729493,-0.48920655,-0.5029131,-2.8208375,-0.14188218,1.9844413,-2.170175,-1.3348656,0.2786791,0.23023848,-1.4686749,0.60693175,0.839718,-1.1467338,0.08212108
