style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Folk_Rock,-0.08216712,-0.076681964,0.22427358,0.10296754,0.04298155,-0.38891587,0.0129493335,0.17587793,-0.11352257,-0.05750373,0.1531817,-0.44519752,0.31545687,-0.28969207,0.0658401,-0.063999556,0.15868409,0.0534636,0.07344174,-0.17340134,0.5808758,0.17421216,0.5339058,0.04889912,-0.2888891,0.033534456,-0.029150449,0.030977564,0.2684849,-0.2785542,0.1313878,-0.050459433
Trance,-0.19984531,-0.013529185,-0.30030665,0.06956233,0.5415984,-0.3919226,0.24270219,0.16169374,-0.066420175,-0.118853554,0.5703009,-0.3457316,0.0919038,-0.47854206,0.087682016,0.3879795,-0.5688006,0.07167216,-0.032739673,-0.20765676,0.44722882,0.44765955,-0.040645164,-0.19642092,0.45342717,0.74984217,-0.11218361,-0.29991224,0.027662413,0.1798406,-0.1331007,0.11967481
Hard_Rock,-0.040329415,-0.11476137,0.14632973,0.31051302,-0.10124943,-0.10055637,0.06519496,0.07363607,-0.2576068,-0.37835333,0.18314002,-0.40192616,0.103646636,-0.25737762,0.045407556,0.059537984,-0.32195675,0.14034715,0.064944215,-0.4129073,0.90292525,-0.0090608215,0.77658784,0.18667336,-0.0075556594,-0.15887484,0.40709955,0.03710813,0.14741626,-0.3787666,0.20342208,-0.22515927
Minimal,-0.021634974,-0.12722255,0.151443,-0.1161798,9.7688426e-05,-0.28109932,0.18732396,0.12609404,0.33280087,-0.06845612,0.49631968,-0.15938447,-0.056635737,-0.6750428,0.054683316,0.19715662,-0.5391545,-0.06306319,-0.13014202,-0.13992158,0.3466551,0.26441503,0.39100984,-0.2729015,0.17909719,0.15490286,-0.12476737,0.39222628,0.17128246,0.45833448,-0.0082776565,0.117339216
Deep_House,-0.35852444,-0.23815466,0.024972355,-0.06567439,0.11653335,-0.4451488,0.22867566,0.13336033,0.32276392,-0.01154004,0.53786975,-0.1256288,0.051750485,-0.84739447,0.21605724,0.20124312,-0.29989877,0.21248128,-0.2134127,0.022656199,0.47582293,0.22044244,0.12081412,-0.25014964,0.1910963,0.28345397,-0.031876862,0.091706276,-0.24099837,0.5315317,-0.10026522,-0.04196773
Romantic,-0.049877353,-0.5523403,0.8086702,0.3025011,-0.43590337,0.16521014,-0.011622415,-0.14624952,-0.13655654,0.22517067,-0.046846855,-0.5932685,0.5095693,0.012176557,0.5726304,0.50415915,-0.069971874,0.1727228,-0.4639728,0.66790074,0.21694748,1.0797143,0.06751214,0.025858866,0.39601818,-0.09702182,-0.28094584,-0.10694967,0.5189996,0.061185572,0.36975586,0.076407105
New_Wave,-0.12098966,-0.14434586,0.057965416,0.11639403,-0.18570234,-0.4684619,-0.108568594,0.0926471,0.13035972,-0.019022243,0.48254684,-0.17997761,0.052273054,-0.34472162,0.060318608,0.19868778,-0.038112246,-0.11802834,0.2973002,-0.34673363,0.15703586,0.4554005,0.56569,-0.10860592,-0.0046112463,0.1796749,0.24584419,0.021864992,0.36867762,-0.11425381,0.03697817,-0.13170503
Drone,0.26882207,-0.16022742,0.24341363,-0.29991058,0.07019006,-0.27790824,-0.13357115,0.27510145,0.022632694,-0.3587029,0.40276968,-0.48345464,0.103653386,-0.5977422,-0.088093854,0.07454026,-0.27671945,-0.04854316,-0.08409454,-0.20877783,0.04822356,0.1414177,0.41516367,-0.046732705,0.43366215,0.055935156,-0.31358865,0.46084112,0.33721432,0.14844212,0.11458274,0.12076722
Tech_House,-0.35129517,-0.18004243,0.072705574,-0.14220051,0.12508658,-0.35285076,0.12722026,0.17767787,0.38130298,-0.013116444,0.5586208,-0.17820333,-0.014649226,-0.7337635,0.2040822,0.3072896,-0.49648222,0.0033309537,-0.22954799,0.032579508,0.5246355,0.29397446,0.268361,-0.28315702,0.15703526,0.284923,-0.118485734,0.0888797,-0.1789166,0.48284552,-0.15090683,-0.08140867
Euro_House,-0.18706812,0.045843344,-0.20361367,0.048913453,0.10469736,-0.40523526,0.38379323,-0.078272246,-0.26117593,0.18995193,0.4107507,-0.45560938,0.25474727,-0.5323194,0.020283585,0.2803631,-0.28020838,0.12975937,0.20155956,-0.2914006,0.26677188,0.42197916,0.06895961,-0.44434425,0.22597477,0.62373906,-0.023096638,-0.27921575,-0.18072617,0.3197109,-0.13731593,0.13441694
Easy_Listening,0.0714364,0.14982392,-0.045135323,0.28435904,-0.039324407,-0.26313928,0.588423,-0.047890574,-0.1344024,-0.34875986,-0.10913185,-0.49992007,-0.006499454,-0.18448608,0.17906484,0.3174438,0.20972553,-0.19837242,-0.18463303,0.38109088,0.19260284,0.70855963,0.21233076,-0.0427711,0.09207737,-0.11475865,0.018232828,0.16781208,0.11325972,-0.3132108,-0.072511956,-0.040994644
Breakbeat,-0.2095475,-0.3444526,-0.1592165,0.09160311,0.110564716,-0.4204366,0.14319305,0.2505095,-0.260833,-0.165787,0.4336951,0.049861476,0.13988882,-0.4864887,0.24718207,0.4918705,-0.38282877,0.017630562,-0.032822818,-0.2236829,0.3522887,0.21181849,0.23963508,-0.10408626,0.29675192,0.2563296,-0.21879235,0.2516725,-0.14178233,0.4286559,-0.23347427,-0.14625838
IDM,-0.10403009,-0.39659104,-0.030226305,-0.19807465,0.10252048,-0.26691565,0.1505527,0.2186903,-0.053063843,-0.29052824,0.5058405,-0.1388778,-0.030666463,-0.5468749,0.1593007,0.2648842,-0.20720132,-0.014482552,0.053499833,-0.16199175,0.15732469,0.11199429,0.3412042,-0.036316633,0.46875116,0.24765433,-0.2544204,0.42980683,0.25628594,0.25453666,-0.013821308,-0.022177935
Rhythm_&_Blues,-0.24810112,-0.5908655,0.056169588,-0.13277629,-0.018784821,-0.355642,0.35562655,-0.07282389,-0.1919991,0.16851169,0.23417057,-0.4370527,-0.029845014,-0.27217922,0.14396037,-0.15852898,0.0035812194,0.35400948,0.032267004,-0.012583127,0.2528426,0.66845304,0.23430532,-0.09349885,-0.047352023,-0.20996621,0.11901739,-0.09534986,-0.1324795,-0.6757034,-0.15905789,-0.31674257
Prog_Rock,-0.14717957,-0.0027388728,0.37146178,-0.06358687,0.109992154,-0.27472523,0.09755611,-0.003460604,-0.21640828,-0.22182217,-0.060938533,-0.4427649,0.22242045,-0.18733491,-0.067122854,0.06685809,0.102645,0.1948934,0.13630801,-0.33903372,0.75330883,0.12476889,0.69172734,-0.020656414,0.24181606,-0.038609155,0.36336103,0.21634763,0.27706605,-0.06641653,0.16500834,0.046912145
Garage_Rock,-0.23014526,-0.18937868,0.14619681,0.048862066,-0.11920444,-0.7475982,0.05552703,0.13259883,-0.20920938,-0.053144712,0.3227394,-0.16437902,0.3389035,-0.11331221,-0.18696193,-0.33947244,-0.23864545,0.08903691,0.043767232,-0.30431485,0.4281047,0.5176367,0.5240888,0.16760668,-0.10914865,-0.22918156,0.08353133,0.20452458,0.20812649,-0.41877073,-0.034981024,-0.065069936
Chanson,-0.19177413,0.048112582,0.052666135,0.32548234,-0.13986191,-0.1399855,0.3622534,0.34731174,-0.0275647,0.10298861,0.022304509,-0.46154252,0.2728224,-0.21611597,0.064748354,0.085955665,0.19931315,0.10890121,0.12875332,0.22616138,0.21535873,0.58219624,0.47939584,-0.2427625,0.043818396,-0.057949256,0.10946012,-0.0402715,0.012736775,-0.25158733,-0.07336842,0.1197615
Soft_Rock,-0.19707991,-0.12472353,0.048084997,0.23993245,-0.021868108,-0.17070271,0.37793863,0.19185963,-0.063612364,-0.07897307,0.14077544,-0.52643794,0.262815,-0.27343804,0.14359502,0.0588837,0.111552835,0.10927539,0.24885531,-0.07516364,0.36782667,0.25431308,0.4334167,-0.07570444,-0.021205345,0.07904277,0.015772318,-0.11921672,0.08782429,-0.34051684,0.09051174,-0.21676232
Europop,-0.27271697,0.026890384,-0.14959109,0.21779196,-0.1424811,-0.24291371,0.38332075,0.09682076,-0.20724835,0.28174642,0.20416954,-0.4006061,0.29588017,-0.46501124,0.11603612,0.19668306,0.00404453,0.088483766,0.19271033,-0.055714842,0.14702165,0.33117375,0.34250402,-0.4155873,0.12037007,0.37801313,-0.026454216,-0.26248258,-0.043597843,-0.07861786,-0.08323008,0.22457439
Heavy_Metal,-0.014831783,-0.09828789,0.04954688,0.2797016,-0.4793128,-0.41888806,-0.124080814,0.21638289,-0.34990662,-0.2950745,0.123789474,-0.4195533,0.12052786,-0.21299043,0.08840928,0.34054327,-0.31456366,0.31479827,-0.032377243,-0.52405965,0.79115564,-0.16942592,0.5452873,0.29059976,0.34823614,-0.10713176,0.57143646,-0.08034018,0.30121407,-0.19096439,0.23048076,-0.19471006
Acoustic,0.08790464,-0.18392286,0.10172222,-0.06323209,0.0048035686,-0.29436085,0.018560093,0.1621939,-0.14706226,-0.042499855,0.1477127,-0.46575883,0.45058313,-0.30427837,0.11871328,-0.006648783,0.15158561,0.01284568,0.13342918,-0.09469646,0.5951658,0.067560814,0.43257096,-0.07538309,-0.051197093,0.13184254,-0.14453869,-0.059328996,0.29979774,-0.35884812,0.061567757,-0.05432547
